위도,경도,cluster
-2.4959,140.7411,1
11.3588,144.1405,2
5.3714,36.8629,2
-2.4869,140.7561,2
-25.4108,71.7226,2
65.35,-144.8121,2
26.8335,55.1568,2
3.5691,126.7719,0
3.4965,126.6943,0
3.6115,126.9024,0
-7.1121,105.1243,0
-28.4197,-178.3564,2
-30.7554,-71.4941,0
38.7749,23.6272,2
-2.5114,140.7551,2
2.0929,127.8829,2
24.8692,122.0854,2
52.083,-169.628,0
-23.5122,-114.809,2
-59.2992,-23.7354,1
37.9093,101.1674,2
23.2178,121.5972,0
-33.7412,118.2596,2
24.1249,95.8673,2
19.229,-155.393333333333,0
-14.949,166.8342,1
53.8488,-35.0477,1
40.3233,74.7618,2
-57.0129,-25.2461,2
-5.9058,102.6237,2
-54.5221,-130.5522,2
14.2773,-94.0954,1
24.8739,122.0714,2
24.8617,122.0513,2
-38.8316,-92.1449,2
-5.3989,68.6288,1
-32.7048,-71.2694,0
38.9914,70.5933,2
36.4511,68.7722,2
50.5649,-174.8369,2
-2.4951,-12.2795,2
2.9032,-31.2399,2
-28.3814,62.6111,2
21.1214,121.0554,2
37.4215,137.1761,2
-58.6234,-23.3329,1
-4.0222,-81.7315,2
-34.2206,-71.6465,0
-8.9505,156.2616,2
-9.3369,-79.0651,0
14.266,51.7999,2
53.4499,160.7164,0
1.9538,97.841,0
60.7653,-44.0278,2
-31.2708,-178.5371,2
-11.1836,112.5312,2
60.6565,-44.0513,2
-34.3817,-72.3721,2
39.389,26.1735,2
-3.8607,133.3183,2
39.4132,26.1996,2
1.5312,126.4499,2
-0.1516,98.4365,0
34.995,-3.9009,1
-2.4503,140.5724,2
23.5553,121.3817,2
51.1364,-176.3115,2
34.9885,-3.8382,2
17.4697,119.6884,2
37.48,141.643,0
-56.2146,-27.033,0
-3.8126,133.4759,2
18.8863,-68.9785,0
11.9253,92.6851,0
36.4673,142.8207,2
37.0889,141.4075,0
9.4149,-85.4756,0
-21.4235,-173.8922,2
-44.6567,167.3943,2
19.0126,-65.0768,2
-9.1062,-108.3352,2
-8.9725,-108.3976,2
-57.1278,-24.7008,2
53.2111,-164.3873,2
38.6604,75.7027,2
-7.516,147.1755,0
-14.9467,166.8791,1
-14.968,166.8093,0
-14.8069,166.7606,0
-15.0854,166.6611,0
-15.0113,166.6939,0
-15.0166,166.6938,2
-14.9915,166.8065,0
-15.1514,166.7468,0
-15.096,166.8104,0
-15.1308,166.712,0
55.9674,162.7364,0
-15.083,166.8052,0
-15.0718,166.7798,0
-15.2114,166.928,0
-15.0613,166.6785,0
37.7593,126.2251,2
-15.1455,166.9063,1
-15.0976,166.7282,1
-15.0979,166.9147,0
-33.0128,-71.3559,0
14.5763,144.248,2
-8.8989,-108.4395,2
-15.191,166.9059,0
-15.0776,166.9387,0
-14.9974,166.7066,0
-14.9368,166.7335,0
-14.9141,166.9082,1
-14.9506,166.7923,1
-14.9811,166.7238,2
40.3766,19.4481,2
-14.7608,166.9993,2
-1.1106,-13.7917,2
-14.9169,166.7465,0
-5.2367,153.3438,1
35.6632,25.7797,2
41.677,143.4264,0
42.1468,144.7675,0
-28.7761,-72.7934,2
-15.165,166.787,0
29.6048,-43.0026,2
23.4009,121.3485,2
-8.8299,111.1757,1
24.299,98.7509,2
51.3746,-178.3438,2
33.4069,142.1393,2
-8.8244,124.5,0
-15.0529,166.7779,2
-15.2211,166.8851,0
-15.5003,166.5448,1
15.9298,41.7705,1
-6.2921,104.8324,0
35.5311,25.8453,2
29.9764,-42.1407,2
-60.2634,-28.1877,2
-59.953,-27.8184,2
-5.5415,151.6366,0
26.705,96.5576,2
-39.1366,-91.3738,2
52.2201,159.8177,0
17.9865,-66.8863,2
18.8468,-64.405,0
-2.4396,140.704,2
39.4874,26.2503,1
38.6783,141.9108,0
12.2375,-88.1416,0
43.7612,-128.587,2
55.5064,-149.2594,2
6.0367,60.7381,2
19.238,-68.9336,2
11.7055,143.0853,1
27.6733,56.1838,2
-6.2834,147.419,0
-6.5427,151.9123,2
40.9488333,-124.0303333,2
51.0364,-178.161,0
-23.3379,-174.8566,2
-23.414,-174.7041,2
18.8263,-64.3388,2
54.6782,-156.8589,1
54.608,-156.7668,2
32.0539,105.0998,2
-0.9776,10.2588,2
-2.8053,141.8287,2
11.2892,91.8207,2
-5.518,102.8032,0
-14.7553,166.7974,2
-7.9781,129.919,2
16.6797,-98.9887,0
35.4541,139.2024,2
53.8453,-165.0471,0
23.2218,121.4519,2
-60.1415,-28.1733,2
12.5679,126.4033,2
60.1489,-141.0043,2
13.9966,120.5752,2
25.8265,128.3839,2
-2.8571,137.0171,0
50.3913,-177.2419,2
-14.7604,166.8762,1
-14.893,166.9404,0
-16.6398,-74.2667,2
43.9646,-128.7389,1
-55.6879,-26.4725,2
6.2073,60.8238,2
43.5974,-128.6681,2
-23.2118,-175.3039,1
-23.1878,-175.3489,2
-23.2975,-175.6789,2
43.6598,-129.0905,2
-6.7715,131.3913,1
46.2286,154.7309,2
-14.1378,167.7614,2
-14.6664,166.8198,2
-49.4965,-114.5705,1
-29.912,-176.9651,2
-49.8496,-114.2216,1
35.3383,141.0673,1
-49.6782,-114.4105,1
40.5213333,-124.9323333,2
-17.3917,175.534,2
-8.4401,121.5966,2
-25.4853,-71.0059,0
-3.8909,134.8086,2
-14.7053,166.9053,2
-59.943,-26.7417,0
26.8052,53.7556,2
19.1571,-68.9906,2
-9.9809,159.0549,2
37.1995,20.9112,0
-55.4413,-127.0283,1
-30.6176,-71.3759,1
43.9032,13.4288,2
-14.7624,166.4276,2
-23.316,-174.9481,2
18.9486,-64.2588,2
38.3867,23.5246,2
26.8041,55.2808,2
31.6045,82.9741,2
-5.6534,147.6327,0
-5.5669,147.7201,0
-23.1411,-175.139,1
-23.2673,-174.7142,2
-23.2748,-174.8658,1
-31.1674,-176.9682,2
-23.3615,-174.8354,2
-30.6411,-71.335,0
-15.0307,166.7492,0
-23.1518,-174.8672,2
-23.1214,-174.9788,2
19.6248,-92.4468,2
-2.4758,140.6567,1
35.5003,36.6702,2
-23.8183,69.6058,2
37.4773,137.3197,2
2.1524,125.9305,2
-0.2267,129.707,1
84.1027,108.789,2
34.593,25.241,0
-31.556,-69.148,0
11.1215,144.1738,2
-58.7235,-25.8105,0
40.5245,-124.41,2
44.341,79.2948,2
51.1057,-177.4307,0
23.9729,122.3377,1
-14.9138,166.5463,0
-2.803,138.4123,0
-20.738,-70.4016,0
18.3446,145.6785,2
-14.8661,166.7541,2
-5.0128,103.1291,1
-37.3729,30.9884,2
32.9751,92.4784,2
42.0287,46.4836,2
-13.5294,-74.3524,2
-30.9772,-71.7885,0
34.5684,23.9247,2
-7.3507,155.7238,2
-14.9489,166.7189,1
33.5663,-38.1987,2
-7.2371,156.1617,2
-3.8072,101.3371,0
-41.0212,42.855,2
55.18,162.8932,2
0.0894,125.9544,0
13.5884,125.3902,2
1.5787,126.7041,0
39.8623,143.0784,0
-13.4958,168.8074,2
16.0898,-87.501,2
38.4311,39.156,2
21.9399,96.0213,2
-15.5324,168.1496,1
0.7967,-28.8858,2
10.798,-40.9854,2
25.0491,125.8117,1
-14.9867,166.8837,1
11.4179,124.6414,2
47.3872,153.0932,0
41.165,142.3275,0
57.5872,-153.2038,0
-23.8534,-111.8992,2
0.7556,-77.3987,2
-5.508,152.2043,0
-54.1684,140.4939,2
41.4466,19.996,2
41.5072,19.9862,2
28.1272,104.9237,2
1.9837,97.9979,1
14.0226,-89.7977,1
18.7498,-68.3301,0
14.0685,-89.8253,2
52.3809,-169.9729,0
25.0131,125.7694,0
-7.902,128.4707,0
3.19,126.9637,0
-7.9049,128.4394,0
14.0805,-89.8596,1
2.2496,128.4193,0
-14.7056,166.8473,2
13.1731,-89.5441,0
-32.5669,-71.6774,0
-11.824,166.6554,0
-41.4285,-88.4007,1
35.7538,80.0339,2
14.055,-89.8418,2
35.7132,80.2659,2
-3.1103,142.0154,0
23.9258,122.4167,2
23.9367,122.3511,2
-0.8968,146.8626,2
-41.5322,-85.2327,2
-3.1121,136.5121,0
61.7203,-149.5519,1
41.468,20.0656,2
23.5913,92.4156,2
-10.8952,166.0671,2
21.1014,100.0762,2
14.4132,122.9785,1
-57.7429,-25.7569,2
-62.9531,-163.7912,1
-18.0921,168.1901,2
-10.2725,161.4435,0
-40.662,44.9473,2
-9.0476,112.5383,0
58.1583,-137.6322,2
-1.8101,99.6227,0
44.0252,142.3651,2
-15.2105,-173.0353,1
-34.9858,-107.0579,1
-2.8308,140.0516,0
24.3167,125.2224,2
-38.2043,-74.0207,2
16.578,144.6358,2
30.0294,131.0606,0
30.1983,130.9092,0
42.1313,-29.2871,1
36.4204,52.9186,2
-24.6041,-70.1141,0
14.3395,122.989,2
-16.6425,-73.7836,0
14.3703,122.9517,2
34.9167,14.1587,2
-9.0244,-108.9468,2
-17.7325,-171.1753,1
-50.1126,126.9657,2
-9.0648,148.127,1
-13.6338,-112.2623,2
-4.0783,133.3026,2
12.9782,-88.9521,0
14.2886,123.1735,2
52.2016,-169.8676,0
11.5023,95.1809,2
29.6383,101.7292,2
24.7752,125.4156,0
-13.1094,166.6574,1
-0.2132,97.5504,2
-1.3661,-15.3849,2
34.9232,14.2748,1
24.7915,124.8538,0
14.2601,123.0134,2
14.2402,122.9879,2
2.7306,127.0221,1
2.8239,127.0179,1
2.5854,126.9129,0
2.7322,126.9106,0
2.7108,126.9027,0
2.6154,127.0118,0
2.8174,127.1375,0
-30.3972,-71.9719,2
2.6982,127.1349,1
2.7897,127.1201,0
2.7363,127.079,0
38.4334,44.9458,1
2.716,126.9909,0
2.674,126.9412,0
-13.3508,66.8183,1
2.599,126.8006,0
36.9911,36.1694,2
2.6628,127.02,0
2.7378,126.9009,1
2.6702,127.1304,0
2.7211,127.1358,0
2.7955,126.9949,0
2.7838,127.1272,0
36.492,69.6013,2
34.9715,14.2761,2
2.7711,127.0537,0
38.3997,44.9477,2
2.8561,127.2252,0
0.9326,126.1034,0
2.7226,126.9833,0
2.6208,127.0252,0
-2.6854,139.6674,0
2.9276,127.0925,1
34.8554,14.2579,1
2.6606,126.9997,0
-11.0429,111.7727,1
2.695,127.0915,0
-10.9587,111.7241,1
12.2666,123.3359,2
34.9489,14.1932,2
-30.3249,-177.3951,2
2.6911,126.8984,0
38.2915,21.8411,2
2.6451,126.9312,0
11.4722,43.2172,2
23.473,142.2526,2
2.6921,126.8287,0
-17.176,175.5265,1
-0.857,133.5224,0
2.6671,126.8865,0
2.8378,127.0081,0
2.6461,126.7978,0
36.3005,141.9726,0
52.3329,-170.4106,0
12.1121,94.4701,2
2.801,127.2439,0
25.937,143.0309,2
19.8775,120.5851,2
39.488,25.8234,2
2.9459,127.2927,0
17.3215,-83.9099,2
33.7343,137.2383,2
-11.208,166.3807,2
-6.6529,104.1805,0
-64.4289,174.8642,2
38.5878,44.7612,2
-49.1112,65.9882,2
34.657,14.2292,2
53.407,-163.5692,2
2.7637,127.012,0
2.8043,127.0002,0
-15.0106,166.974,0
-58.8263,-25.4746,0
53.4846,-163.6103,2
2.656,127.0019,0
10.0936,93.5847,2
53.4086,-163.5485,1
2.8996,126.6652,2
41.3097,142.5275,0
12.6716,-88.9575,0
2.7749,126.987,0
2.9462,127.0475,0
4.3296,126.8131,0
19.6516,-65.7675,2
2.7909,127.0919,0
2.5129,126.5695,0
2.6248,127.1475,0
36.8096667,-121.531,2
1.1421,-85.3514,2
1.222,-85.3077,2
2.7314,126.8195,0
-21.3768,-174.1303,1
13.9676,-89.8728,2
2.6425,126.8328,0
-0.0559,98.4494,0
2.7685,127.1185,0
41.1286667,-123.8765,2
2.7314,127.0244,0
56.253,-149.7755,2
2.7117,126.9991,0
32.7149,23.4375,2
11.9045,-87.7379,0
38.7511667,-123.0948333,2
35.4553,80.4047,2
2.6943,126.9659,0
-15.4313,-172.9496,1
-15.0137,167.028,0
38.9015,70.6378,2
-56.2996,159.3339,2
38.9239,142.1003,0
42.0094,-29.3742,2
41.128,-123.8753333,1
4.2931,126.7468,0
3.5848,128.5719,1
3.0079,127.0761,0
2.8439,127.0225,0
-27.9526,-176.3063,1
34.4397,141.7096,2
-2.3748,140.7431,2
52.2905,-170.4259,0
2.9926,126.9301,0
44.943,148.0752,2
33.6574,81.8588,2
2.745,126.9444,1
-5.2579,101.811,2
37.7473,141.566,0
-5.2051,101.8081,2
2.8487,126.9995,0
2.6372,126.7544,0
-3.9917,34.3521,2
2.3923,126.7277,0
3.2514,96.195,0
2.7552,127.054,1
-18.2909,-70.755,0
19.3403,-64.8281,0
53.49,-163.628,2
19.3256,-64.8465,0
19.2971,-64.8208,0
53.4392,-163.6347,2
2.7721,126.9975,0
19.3221,-64.8171,0
19.2806,-64.84,0
-57.2805,-25.6604,0
-15.2035,168.2376,2
51.5549,-175.33,0
2.7842,127.0146,0
12.7217,125.1035,0
-28.3401,-176.0493,2
2.7651,127.0662,0
-28.3884,-176.7576,0
37.1807,141.5525,0
9.486,126.1542,0
-4.4634,132.8145,2
34.7103,36.3823,2
53.4323,-163.6601,0
50.9417,-179.2302,2
-27.3167,-176.5414,0
19.5368,-65.7323,0
-22.0651,170.3823,2
2.657,126.6547,0
2.7118,126.8934,0
5.0489,-82.6515,2
-12.0079,109.2384,2
-28.277,-175.9879,2
15.8285,-96.3798,0
57.4164,-33.2571,1
4.5674,94.9961,0
2.7214,126.9929,1
-3.8582,133.8265,2
2.4201,126.1014,0
6.4722,124.9072,2
52.3131,-168.6002,0
52.6599,-168.8097,0
3.9273,128.248,2
51.3888,-177.0633,0
28.2639,130.0506,0
57.3175,-33.3536,2
57.437,-33.2833,2
2.7978,126.9838,0
-20.8169,-174.1334,1
2.7671,127.2314,0
38.8689,22.9378,2
-3.1606,143.851,2
-2.8969,127.7539,0
-15.2179,-75.6858,2
2.7381,126.9916,0
-4.3567,144.0836,0
-2.6019,140.6559,0
2.7308,126.7271,0
42.5955,146.6294,2
18.1068,-67.0268,2
2.729,127.0199,0
2.8623,127.0919,0
12.9966,-90.9844,2
38.5293,99.0858,2
2.6826,127.0214,0
7.4286,-81.5713,2
-5.0609,147.8037,2
-20.8774,-173.7364,2
2.777,127.1631,0
23.4481,142.9353,1
-57.683,-23.7037,1
17.8768,-66.8725,2
-28.151,-176.4132,2
3.0671,127.4254,0
24.1693,125.2957,2
-22.0409,-174.6183,2
-8.1655,125.0673,2
-59.9666,-26.6346,0
23.9154,122.5742,0
18.007,-67.1566,2
-23.0003,171.6956,1
34.9739,14.1811,1
34.8666,14.13,2
-50.063,113.921,2
-22.0392,170.4645,0
2.698,126.9894,0
24.8836,93.079,1
37.1093333,-121.5168333,2
3.0151,127.0689,0
2.9525,127.0088,0
42.1809,-29.3784,2
3.1265,127.3272,0
-7.5811,104.0964,2
3.0014,126.9769,0
2.7568,127.0395,0
2.7944,126.899,1
2.8202,127.0015,1
2.1964,125.7186,2
-6.8426,106.9767,2
69.6054,-144.6979,2
-30.5562,-71.8185,0
2.7739,126.9144,1
5.3125,94.2435,0
2.569,126.3889,0
2.8182,126.944,1
2.8282,126.942,0
2.7746,126.8379,0
2.7848,127.0061,0
2.5213,126.4108,0
2.9043,127.088,1
2.8189,126.8519,0
2.8856,127.2573,0
2.6908,126.5906,0
2.9088,127.1235,0
2.9175,127.2949,0
-5.5573,149.3423,2
2.8298,127.3658,0
2.9076,127.1653,0
2.9529,127.2743,0
2.4837,126.2199,0
2.7818,126.9104,1
2.7244,127.1493,0
2.8528,127.0019,0
2.5936,126.7846,0
2.8675,127.2473,0
2.8419,126.954,0
2.8713,127.1987,0
2.6671,126.8508,0
2.8024,126.9746,0
35.1548,31.2583,2
-22.0796,-175.5029,0
2.8064,127.2083,0
29.5825,81.6638,1
2.8028,126.678,0
2.8339,127.0001,0
2.7706,127.186,0
52.5155,160.2644,0
2.806,126.9835,0
19.2801,-64.39,0
2.738,126.8597,0
3.0821,127.016,1
2.732,126.8924,0
50.073,142.51,2
3.555,128.5402,1
2.6127,126.6714,0
11.5272,142.8663,2
-6.0393,148.2416,0
-15.1306,-173.0872,2
2.6864,126.8087,0
-22.907,171.0033,2
2.9885,127.0439,0
31.67159174,-104.3897618,2
2.9423,127.2788,0
3.1604,127.0141,1
34.8772,14.3112,1
-5.1,34.9961,2
3.0899,127.3087,0
34.8523,14.2303,2
34.6292,14.297,2
-27.7485,63.8411,2
3.115,127.0491,0
37.5882,141.6818,0
34.8866,14.2409,2
-58.5251,-25.1162,0
9.1399,126.434,0
56.1588,114.1836,2
-26.3582,-71.3099,2
-22.9904,-176.372,0
18.5828,-66.7998,2
2.8827,127.133,0
4.6733,125.4956,2
-11.3522,119.4827,2
19.4056,-65.8381,2
19.1471666666667,-155.369,0
-3.4777,-80.7345,0
-12.1091,-74.1681,2
33.885,-118.7045,1
35.8515,-97.19116667,2
33.8863333,-118.7026667,1
35.7086,28.4965,1
-5.6795,153.6698,0
41.2404,84.1661,2
44.9396,80.9549,2
-31.23,-178.239,1
57.4916,-154.9097,0
19.0481,144.6581,2
2.8144,127.0816,0
2.8108,126.9383,0
35.7331,79.8502,1
35.6956,80.0682,2
14.8806,122.2849,0
2.7578,126.7581,0
3.1406,127.0219,0
-22.1603,-176.5684,2
-10.9286,111.7281,2
2.8254,127.2766,0
29.7306,101.9935,1
29.6412,101.9672,2
29.645,102.1106,2
29.559,102.166,2
29.7831,102.0678,2
34.8025,14.2155,2
20.211,146.2083,0
29.6904,102.0311,1
12.5018,40.5205,2
-59.4078,-25.8117,0
2.842,127.2438,0
25.7328,90.4362,0
2.6442,126.8692,0
2.8189,126.761,0
2.8807,127.108,0
16.6149,-25.6191,1
2.8391,126.9856,1
-0.1313,-77.4686,2
2.5517,126.6152,0
2.7188,126.7167,2
2.6363,127.1828,0
2.84,127.0684,0
-8.678,130.3069,2
2.7314,127.0085,0
2.7852,126.8024,0
44.2182,12.4353,2
-32.9027,-68.6518,2
-2.7431,152.1287,1
2.1104,97.8525,0
2.7983,127.0292,0
11.6466,43.9274,2
2.7257,126.7964,0
23.1742,123.4212,1
-18.278,-173.7563,0
2.6517,126.894,0
2.8409,127.1773,0
2.7809,127.0215,0
2.8814,126.8379,0
50.601,-172.6287,1
-41.8052,88.6422,2
2.7075,126.1618,2
2.7359,127.0258,0
2.7929,126.8576,0
2.709,127.3963,0
57.393,-33.3795,1
57.3255,-33.2748,1
3.061,126.9892,0
-15.4514,-172.9942,0
52.978,159.5062,0
2.7438,126.6932,0
-6.1766,147.9184,0
-19.9484,178.8704,2
10.0848,126.1192,2
-6.5808,104.0229,0
2.5014,95.8259,2
48.1713,154.6661,0
37.8662,141.6833,0
29.3378,51.2763,2
2.8127,126.8178,0
30.5806,50.4151,2
18.7795,-64.3253,0
16.9061,-86.1829,0
-6.892,107.8236,2
-2.8466,129.6137,2
52.4,-170.5529,0
-6.1432,150.288,0
51.5251,-175.7286,0
39.6189,74.7829,0
54.1674,-121.8641,2
60.2325,-138.1385,2
1.8846,97.0042,0
12.2823,144.0576,2
-2.0886,139.1736,2
0.7195,-27.8336,2
3.0504,126.9979,0
13.1191,145.615,1
44.2129,12.3668,2
-34.8091,54.3827,1
-32.8499,-178.3124,2
-3.7762,-80.4779,0
-10.7449,164.2166,0
33.5843,45.8112,2
30.6967,50.3487,2
49.0299,-128.4935,2
-2.4991,128.8589,2
38.1734,-117.8643,2
38.4199,44.9097,1
38.4811,44.9282,1
-7.8024,154.7385,2
38.6005,44.8287,2
-10.1625,115.8208,0
30.0471,142.1496,2
35.811,80.0799,2
40.5355,-124.3973333,2
2.9066,126.8881,0
2.8499,126.9825,0
38.6392,44.8223,2
5.5924,125.0567,0
-9.0108,67.3168,2
37.5621,20.9654,0
2.7358,127.0428,0
33.5931,72.8907,0
18.9213,-67.2011,2
2.7289,127.0706,0
38.4906,44.8693,2
-11.202,164.4829,2
38.4819,44.7507,2
2.9047,126.9938,0
2.8896,126.9662,0
35.7692,35.7431,2
38.5594,44.717,2
8.6633,-39.4174,2
8.5903,-39.4443,1
2.8623,127.0656,0
10.0711,125.8558,2
19.2312,-69.9049,2
2.8491,126.9433,1
2.6589,126.6496,0
38.5153,44.8139,2
60.0891,156.374,2
2.71,126.666,0
52.4676,-169.7176,0
-22.929,38.4732,2
-42.9534,171.9213,2
8.6083,-39.4903,2
40.0166,82.3702,1
2.6813,127.2482,0
-53.6656,-134.2022,2
2.7141,126.796,0
-6.3899,130.7461,0
34.8408,14.3173,2
-29.6903,-177.7602,0
-3.9456,133.3035,2
2.7748,127.2569,0
2.6811,126.7548,0
61.4949,-140.6929,2
23.2239,123.905,1
15.5066,119.4087,2
9.6802,-84.4658,0
16.7549,-100.1983,2
35.7367,79.8867,1
-22.4116,170.2024,2
37.8497,142.1119,2
57.153,-122.1865,2
45.7449,-110.5969,2
34.9098,14.2728,1
19.492,-67.1458,0
2.7173,127.1018,0
-9.6025,159.7462,1
-3.6451,-79.6826,2
7.1978,127.2493,2
2.4364,-30.6876,2
2.8084,127.1186,0
37.4221,59.9086,2
19.3364,-79.0088,2
29.33,130.53,0
-1.0108,134.5828,2
-5.2966,103.2863,0
-9.8409,-78.5357,0
40.1361,22.8003,2
7.7079,126.2252,2
17.9475,-70.3727,1
43.0645,-126.426,2
36.2121,68.7661,0
2.6118,126.924,0
-7.2931,107.6331,2
2.8386,127.0849,0
-33.6686,77.8245,2
2.9957,126.964,0
-1.9108,-81.428,1
-58.7104,-25.2878,0
14.0522,-89.9163,2
38.7397,142.9521,0
19.9292,94.2003,0
3.0003,126.8399,0
-41.7509,84.7918,2
-22.9752,-69.9606,0
27.0533,65.8629,0
13.3393,-91.4275,2
-19.0603,65.3234,2
12.2296,143.9133,2
26.6426,129.5647,2
-32.0811,-71.9028,2
-32.1009,-71.6603,0
32.6047,141.7094,2
-5.6197,103.89,0
-7.2013,106.0182,0
7.971,-82.5498,2
-37.636,175.7151,2
16.6977,-60.9434,2
8.0588,-82.5995,0
-6.2369,143.2156,2
-16.272,-73.8176,0
38.622,142.041,0
43.7281,-129.1272,2
-14.5964,166.7198,1
12.1271,-88.1708,2
61.5178,-140.6891,2
12.1254,-88.1894,2
52.3316,-169.4862,0
52.2801,-169.471,0
-58.9693,-61.1877,1
84.8818,7.8889,2
-20.8536,-69.8924,2
55.9242,-157.7989,0
5.827,126.1074,0
14.6868,146.6803,2
37.2003,36.4998,2
52.2704,-169.4108,0
51.9984,-169.1613,2
37.0348,96.9,1
37.0695,96.9059,1
2.6634,126.9692,0
36.7689,21.6393,0
2.6329,126.8298,1
2.4859,126.7121,0
2.8393,127.3198,0
-22.9301,-174.6258,2
52.3821,-169.4052,0
32.75482178,-100.6551305,2
32.75482178,-100.6529869,2
-30.5726,-71.1985,2
4.7968,127.0199,0
-7.0458,-80.8339,2
52.3482,-169.4719,0
34.3241,45.7059,2
-29.9382,-71.6597,0
-2.544,140.6838,1
39.2118,73.1038,2
-22.7557,170.6494,2
12.3347,-87.679,0
34.9107,14.2405,2
14.2083,122.9667,2
22.7357,95.9238,2
-29.9461,-71.6682,0
-29.4577,-72.4972,2
37.4442,72.6877,0
12.0666,-88.152,2
-6.5015,154.8523,2
12.5779,-88.3187,0
14.6538,119.5729,2
-0.3125,123.6679,2
-10.8026,165.3579,2
59.1507,-145.897,0
31.61968782,-103.9800113,2
-19.947,-173.2462,2
-8.4486,155.0863,2
32.655,141.6605,1
-33.3788,117.0992,2
44.8651,149.2316,0
55.9057,162.6616,0
-5.1316,153.2802,0
3.0078,126.8516,0
32.7725,141.7512,2
38.1675,-117.8921,2
2.2085,121.1987,2
49.9112,-116.3971,2
-5.1969,152.2893,0
20.4671,146.0461,0
-21.7834,-173.9474,1
-32.7313,-71.7525,0
16.8301,-99.7892,2
7.7496,126.0653,2
48.9265,157.3333,0
18.911,-68.4868,0
-23.0842,171.6517,2
27.1901,143.4904,2
2.8312,126.9788,0
64.4746,-17.7887,2
-2.4294,140.6999,2
7.3231,-72.0272,0
53.174,-167.5779,0
37.2256,37.0143,1
37.2252,37.0001,1
37.1893,36.8929,1
36.9921,36.6832,1
36.6696,36.4767,2
37.9792,38.5117,2
38.6055,40.5767,2
37.9828,38.1435,1
38.2407,38.7424,2
36.7205,36.6192,2
37.4756,37.1578,2
36.3603,36.1708,2
37.2073,36.5988,2
37.7175,37.3615,2
35.1453,35.3142,2
37.0302,36.6208,1
37.7238,37.8026,2
37.3512,37.095,2
37.7712,37.9141,1
37.9227,38.0613,1
38.1562,38.5195,2
37.9265,38.2237,2
37.2863,36.8539,2
37.4468,37.0449,2
37.1024,36.7301,2
37.4358,37.0658,2
